source,target,weight,volume
frod,sams,158,book2
goll,sams,101,book2
frod,goll,99,book2
merr,pipp,51,book2
gimli,lego,50,book2
ganda,saru,49,book2
ganda,theod,46,book2
fara,frod,41,book2
isen,saru,41,book2
arag,ganda,38,book2
ents,treeb,38,book2
ganda,isen,35,book2
arag,lego,34,book2
arag,orcs,30,book2
arag,gimli,28,book2
pipp,orcs,27,book2
ganda,treeb,26,book2
merr,treeb,25,book2
orth,saru,25,book2
fara,sams,24,book2
ganda,lego,23,book2
ganda,orth,23,book2
ganda,pipp,23,book2
pipp,treeb,23,book2
ganda,gimli,22,book2
arag,eome,21,book2
boro,frod,21,book2
ganda,sfax,21,book2
arag,saru,20,book2
frod,mord,20,book2
isen,orcs,19,book2
arag,roha,18,book2
boro,fara,18,book2
fara,gond,18,book2
frod,orcs,18,book2
gimli,treeb,18,book2
merr,orcs,18,book2
saru,treeb,18,book2
arag,boro,17,book2
arag,frod,17,book2
roha,saru,17,book2
isen,treeb,16,book2
lego,orcs,16,book2
arag,pipp,15,book2
arag,treeb,15,book2
ents,pipp,15,book2
ganda,grim,15,book2
ganda,merr,15,book2
isen,roha,15,book2
lego,treeb,15,book2
sams,orcs,15,book2
saru,theod,15,book2
ents,isen,14,book2
eome,ganda,14,book2
fara,goll,14,book2
goll,mord,14,book2
saru,orcs,14,book2
arag,theod,13,book2
boro,orcs,13,book2
eome,theod,13,book2
frod,ring,13,book2
ganda,roha,13,book2
goll,orcs,13,book2
isen,merr,13,book2
isen,orth,13,book2
pipp,saru,13,book2
treeb,orcs,13,book2
arag,isen,12,book2
ents,merr,12,book2
frod,ganda,12,book2
ganda,mord,12,book2
isen,pipp,12,book2
merr,saru,12,book2
mord,sams,12,book2
arag,merr,11,book2
comp,frod,11,book2
ents,saru,11,book2
eome,saru,11,book2
frod,gond,11,book2
ganda,saur,11,book2
gimli,saru,11,book2
grim,saru,11,book2
mord,saur,11,book2
roha,treeb,11,book2
saru,saur,11,book2
arag,elen,10,book2
boro,comp,10,book2
frod,morg,10,book2
frod,saur,10,book2
isen,mord,10,book2
mord,orcs,10,book2
ring,sams,10,book2
roha,theod,10,book2
saur,orcs,10,book2
arag,arat,9,book2
arag,gond,9,book2
arag,saur,9,book2
arag,tiri,9,book2
boro,ganda,9,book2
boro,gond,9,book2
boro,sams,9,book2
elve,treeb,9,book2
ents,ganda,9,book2
frod,shir,9,book2
ganda,orcs,9,book2
ganda,ring,9,book2
ganda,sams,9,book2
gimli,gloi,9,book2
gimli,orcs,9,book2
merr,roha,9,book2
andu,gond,8,book2
boro,dene,8,book2
boro,ring,8,book2
boro,tiri,8,book2
eome,orcs,8,book2
fara,ganda,8,book2
