source,target,weight,volume
frod,sams,193,book3
ganda,pipp,79,book3
merr,pipp,45,book3
arag,ganda,34,book3
dene,ganda,34,book3
dene,pipp,34,book3
gimli,lego,32,book3
ganda,gond,30,book3
arag,gimli,28,book3
bere,pipp,27,book3
frod,pipp,27,book3
arag,lego,26,book3
arag,eome,24,book3
fara,ganda,24,book3
fara,pipp,24,book3
frod,ganda,24,book3
gond,roha,24,book3
arag,gond,22,book3
arag,roha,22,book3
frod,shir,22,book3
gond,pipp,22,book3
ring,sams,22,book3
arag,merr,21,book3
dene,fara,21,book3
eowy,merr,21,book3
pipp,sams,21,book3
pipp,shir,21,book3
arag,pipp,20,book3
eome,theod,20,book3
frod,ring,20,book3
arag,fara,19,book3
mord,sams,19,book3
sams,shir,19,book3
eowy,fara,18,book3
frod,mord,18,book3
bere,fara,17,book3
eome,eowy,17,book3
eome,roha,17,book3
fara,gond,17,book3
ganda,roha,17,book3
ganda,sfax,17,book3
merr,theod,17,book3
bilb,frod,16,book3
frod,merr,16,book3
merr,sams,16,book3
bere,ganda,15,book3
ganda,saur,15,book3
merr,shir,15,book3
arag,elro,14,book3
arag,eowy,14,book3
bage,frod,14,book3
dene,gond,14,book3
lego,merr,14,book3
pipp,roha,14,book3
roha,theod,14,book3
arag,mord,13,book3
fara,roha,13,book3
ganda,merr,13,book3
ganda,mord,13,book3
arag,theod,12,book3
eome,gond,12,book3
eome,merr,12,book3
eowy,gond,12,book3
eowy,roha,12,book3
gimli,merr,12,book3
goll,sams,12,book3
gond,theod,12,book3
pipp,sfax,12,book3
arag,tiri,11,book3
bere,dene,11,book3
boro,dene,11,book3
boro,pipp,11,book3
frod,goll,11,book3
ganda,gimli,11,book3
ganda,lego,11,book3
andu,gond,10,book3
arag,frod,10,book3
bilb,sams,10,book3
eome,ganda,10,book3
ganda,sams,10,book3
gond,merr,10,book3
mord,saur,10,book3
pipp,tiri,10,book3
arag,saur,9,book3
bage,sams,9,book3
eowy,theod,9,book3
ganda,ring,9,book3
ganda,shir,9,book3
lego,pipp,9,book3
mord,ring,9,book3
ring,saur,9,book3
arag,sams,8,book3
bere,gond,8,book3
boro,ganda,8,book3
elro,ganda,8,book3
elve,sams,8,book3
frod,gond,8,book3
gala,sams,8,book3
ganda,saru,8,book3
ganda,treeb,8,book3
gimli,pipp,8,book3
gimli,roha,8,book3
gond,morg,8,book3
gond,saur,8,book3
gond,shir,8,book3
sams,saur,8,book3
arag,comp,7,book3
cele,gala,7,book3
dene,tiri,7,book3
elve,frod,7,book3
gond,osgi,7,book3
grim,saru,7,book3
mord,roha,7,book3
sams,shel,7,book3
arag,ring,6,book3
arwe,elro,6,book3
bilb,shir,6,book3
boro,fara,6,book3
comp,gimli,6,book3
dene,theod,6,book3
dtow,saur,6,book3
edor,theod,6,book3
elro,gala,6,book3
elro,rive,6,book3
eome,gimli,6,book3
eome,lego,6,book3
frod,gimli,6,book3
frod,rive,6,book3
frod,saru,6,book3
ganda,orth,6,book3
ganda,tiri,6,book3
gond,isil,6,book3
gond,mord,6,book3
gond,tiri,6,book3
merr,roha,6,book3
merr,tiri,6,book3
mord,morg,6,book3
orth,treeb,6,book3
sams,tomb,6,book3
andu,ganda,5,book3
arag,isil,5,book3
arag,orth,5,book3
arag,shir,5,book3
bage,hton,5,book3
bilb,rive,5,book3
bill,sams,5,book3
comp,lego,5,book3
comp,pipp,5,book3
dtow,frod,5,book3
elro,eome,5,book3
elro,frod,5,book3
elro,lego,5,book3
eome,fara,5,book3
eome,mord,5,book3
eorl,theod,5,book3
fara,frod,5,book3
frod,gala,5,book3
frod,lego,5,book3
frod,orcs,5,book3
frod,saur,5,book3
ganda,theod,5,book3
gimli,sams,5,book3
gond,sams,5,book3
gorb,sams,5,book3
hton,merr,5,book3
hton,sams,5,book3
mdoo,sams,5,book3
merr,saru,5,book3
mord,tiri,5,book3
morg,osgi,5,book3
morg,sams,5,book3
roha,tiri,5,book3
sams,orcs,5,book3
arag,bere,4,book3
arag,edor,4,book3
arag,elen,4,book3
arag,rive,4,book3
bage,merr,4,book3
bage,pipp,4,book3
bage,shir,4,book3
bilb,elro,4,book3
bree,frod,4,book3
bree,ganda,4,book3
dene,mord,4,book3
dtow,sams,4,book3
