source,target,weight,volume
nazg,sams,4,book1
nazg,shir,4,book1
nume,saur,4,book1
roha,treeb,4,book1
shir,tomb,4,book1
andu,arag,3,book1
andu,elve,3,book1
andu,gond,3,book1
andu,lori,3,book1
andu,mord,3,book1
andu,orcs,3,book1
andu,roha,3,book1
andu,saur,3,book1
arag,cele,3,book1
arag,gala,3,book1
arag,hald,3,book1
arag,nazg,3,book1
arag,roha,3,book1
arat,elen,3,book1
arat,isil,3,book1
arwe,elro,3,book1
arwe,frod,3,book1
bage,ring,3,book1
bali,gloi,3,book1
bilb,gild,3,book1
bilb,thor,3,book1
bill,comp,3,book1
bill,ganda,3,book1
boro,nume,3,book1
boro,orcs,3,book1
boro,saur,3,book1
bree,dwar,3,book1
bree,ganda,3,book1
bree,ring,3,book1
comp,goll,3,book1
comp,gond,3,book1
dene,gond,3,book1
dwar,frod,3,book1
dwar,hobb,3,book1
dwar,lego,3,book1
elen,mord,3,book1
elro,gond,3,book1
elro,isil,3,book1
elro,lori,3,book1
elve,glorf,3,book1
elve,isil,3,book1
elve,orcs,3,book1
elve,tomb,3,book1
gala,ganda,3,book1
gala,gimli,3,book1
gala,loth,3,book1
ganda,isil,3,book1
ganda,loth,3,book1
ganda,roha,3,book1
gild,sams,3,book1
gimli,orcs,3,book1
gloi,ring,3,book1
gloi,saur,3,book1
glorf,sams,3,book1
goll,isil,3,book1
goll,lego,3,book1
goll,mord,3,book1
goll,saru,3,book1
gond,mori,3,book1
gond,nume,3,book1
gond,osgi,3,book1
gond,saur,3,book1
hald,loth,3,book1
hton,pipp,3,book1
hton,ring,3,book1
isil,nume,3,book1
isil,shir,3,book1
lori,loth,3,book1
lori,rive,3,book1
lori,saur,3,book1
loth,saur,3,book1
merr,nazg,3,book1
mord,osgi,3,book1
mord,pipp,3,book1
mord,rive,3,book1
mord,roha,3,book1
morg,saur,3,book1
nazg,ring,3,book1
nume,ring,3,book1
pipp,rive,3,book1
ring,orcs,3,book1
roha,saur,3,book1
andu,isil,2,book1
andu,nume,2,book1
andu,ring,2,book1
andu,sams,2,book1
arag,dene,2,book1
arag,dwar,2,book1
arag,gloi,2,book1
arag,hobb,2,book1
arag,saru,2,book1
arag,treeb,2,book1
arat,ring,2,book1
arwe,lori,2,book1
bage,merr,2,book1
bage,rive,2,book1
bali,boro,2,book1
bali,comp,2,book1
bali,duri,2,book1
bali,lego,2,book1
bali,rive,2,book1
bilb,boro,2,book1
bilb,bree,2,book1
bilb,hobb,2,book1
bilb,lego,2,book1
bilb,nazg,2,book1
bilb,saru,2,book1
boro,dene,2,book1
boro,isen,2,book1
boro,rive,2,book1
boro,treeb,2,book1
bree,elro,2,book1
cele,dwar,2,book1
cele,ganda,2,book1
cele,gimli,2,book1
cele,gond,2,book1
cele,hald,2,book1
comp,lori,2,book1
comp,orcs,2,book1
comp,rive,2,book1
comp,saur,2,book1
dene,elro,2,book1
dene,isil,2,book1
dene,saru,2,book1
dene,tiri,2,book1
dtow,elro,2,book1
dtow,frod,2,book1
dtow,ganda,2,book1
dtow,ring,2,book1
duri,gloi,2,book1
dwar,hald,2,book1
dwar,lori,2,book1
dwar,ring,2,book1
dwar,saur,2,book1
dwar,shir,2,book1
elen,elro,2,book1
elen,elve,2,book1
elen,nume,2,book1
elen,rive,2,book1
elro,gimli,2,book1
elro,lego,2,book1
elro,merr,2,book1
elro,tiri,2,book1
elve,nazg,2,book1
frod,gond,2,book1
frod,isen,2,book1
frod,isil,2,book1
frod,nume,2,book1
frod,roha,2,book1
frod,thor,2,book1
gala,hald,2,book1
gala,lego,2,book1
gala,sams,2,book1
gala,saur,2,book1
ganda,gond,2,book1
ganda,morg,2,book1
ganda,thor,2,book1
ganda,thra,2,book1
ganda,tomb,2,book1
gimli,loth,2,book1
gimli,rive,2,book1
gimli,saur,2,book1
gloi,glorf,2,book1
gloi,rive,2,book1
glorf,pipp,2,book1
glorf,saur,2,book1
goll,nazg,2,book1
goll,sams,2,book1
gond,mord,2,book1
gond,orcs,2,book1
gond,tiri,2,book1
hald,mori,2,book1
hald,rive,2,book1
hobb,sams,2,book1
hton,rive,2,book1
isen,nume,2,book1
isen,ring,2,book1
isen,shir,2,book1
isil,saru,2,book1
lego,mori,2,book1
lego,orcs,2,book1
lego,ring,2,book1
lori,mori,2,book1
lori,orcs,2,book1
loth,sams,2,book1
mdoo,mord,2,book1
mdoo,tiri,2,book1
mord,nume,2,book1
mord,sams,2,book1
morg,osgi,2,book1
morg,tiri,2,book1
mori,thra,2,book1
nume,orth,2,book1
nume,roha,2,book1
orth,roha,2,book1
orth,saur,2,book1
osgi,tiri,2,book1
ring,roha,2,book1
roha,shir,2,book1
roha,tiri,2,book1
sams,orcs,2,book1
sams,tiri,2,book1
sams,tomb,2,book1
saur,orcs,2,book1
saur,tiri,2,book1
tiri,treeb,2,book1
andu,cele,1,book1
andu,elen,1,book1
andu,elro,1,book1
andu,ganda,1,book1
andu,gimli,1,book1
andu,hald,1,book1
andu,isen,1,book1
andu,lego,1,book1
andu,loth,1,book1
andu,orth,1,book1
andu,osgi,1,book1
andu,rive,1,book1
andu,shir,1,book1
andu,tiri,1,book1
andu,treeb,1,book1
arag,bage,1,book1
arag,morg,1,book1
arag,nume,1,book1
arag,tomb,1,book1
arat,bree,1,book1
arat,dwar,1,book1
arat,elro,1,book1
arat,elve,1,book1
arat,frod,1,book1
arat,ganda,1,book1
arat,gimli,1,book1
arat,gloi,1,book1
arat,hald,1,book1
arat,lego,1,book1
arat,lori,1,book1
arat,mord,1,book1
arwe,bilb,1,book1
arwe,rive,1,book1
bage,bree,1,book1
bage,elro,1,book1
bage,elve,1,book1
bage,mori,1,book1
bali,bilb,1,book1
bali,dwar,1,book1
bali,merr,1,book1
bali,pipp,1,book1
bali,ring,1,book1
bali,sams,1,book1
bali,shir,1,book1
bali,thor,1,book1
bali,thra,1,book1
bilb,comp,1,book1
bilb,dwar,1,book1
bilb,gimli,1,book1
bilb,isil,1,book1
bilb,mori,1,book1
bilb,orcs,1,book1
bilb,tomb,1,book1
bill,boro,1,book1
bill,gimli,1,book1
bill,merr,1,book1
bill,mori,1,book1
bill,pipp,1,book1
bill,rive,1,book1
bill,shir,1,book1
boro,cele,1,book1
boro,dtow,1,book1
boro,elve,1,book1
boro,gloi,1,book1
boro,goll,1,book1
boro,loth,1,book1
boro,orth,1,book1
boro,shir,1,book1
bree,elve,1,book1
bree,gond,1,book1
bree,hton,1,book1
bree,isen,1,book1
bree,saru,1,book1
bree,saur,1,book1
cele,frod,1,book1
cele,lego,1,book1
cele,loth,1,book1
cele,mori,1,book1
cele,osgi,1,book1
cele,sams,1,book1
cele,shir,1,book1
cele,tiri,1,book1
comp,elen,1,book1
comp,mdoo,1,book1
comp,nazg,1,book1
comp,roha,1,book1
comp,saru,1,book1
comp,shir,1,book1
comp,treeb,1,book1
dene,elen,1,book1
dene,elve,1,book1
dene,frod,1,book1
dene,ganda,1,book1
dene,goll,1,book1
dene,lori,1,book1
dene,mord,1,book1
dtow,elen,1,book1
dtow,elve,1,book1
dtow,glorf,1,book1
dtow,isil,1,book1
dtow,lego,1,book1
dtow,morg,1,book1
dtow,mori,1,book1
dtow,nume,1,book1
dtow,orcs,1,book1
dtow,pipp,1,book1
dtow,saru,1,book1
duri,dwar,1,book1
duri,lori,1,book1
duri,orcs,1,book1
duri,saur,1,book1
dwar,isen,1,book1
dwar,isil,1,book1
dwar,loth,1,book1
dwar,orcs,1,book1
dwar,thor,1,book1
dwar,thra,1,book1
dwar,tomb,1,book1
edor,roha,1,book1
elen,gala,1,book1
elen,mori,1,book1
elen,tiri,1,book1
elro,gala,1,book1
elro,goll,1,book1
elro,hton,1,book1
elro,mdoo,1,book1
elro,morg,1,book1
elro,mori,1,book1
elro,nume,1,book1
elve,goll,1,book1
elve,merr,1,book1
elve,morg,1,book1
elve,osgi,1,book1
elve,roha,1,book1
elve,thor,1,book1
elve,thra,1,book1
elve,tiri,1,book1
frod,mdoo,1,book1
frod,orth,1,book1
frod,sfax,1,book1
gala,rive,1,book1
ganda,isen,1,book1
ganda,mdoo,1,book1
ganda,nume,1,book1
ganda,orth,1,book1
ganda,sfax,1,book1
ganda,tiri,1,book1
gber,ring,1,book1
gild,nazg,1,book1
gild,rive,1,book1
gild,tomb,1,book1
gimli,glorf,1,book1
gimli,hobb,1,book1
gimli,isil,1,book1
gimli,lori,1,book1
gimli,mdoo,1,book1
gimli,ring,1,book1
gimli,thor,1,book1
gimli,thra,1,book1
gimli,tiri,1,book1
gloi,goll,1,book1
gloi,isil,1,book1
gloi,loth,1,book1
gloi,shir,1,book1
gloi,thor,1,book1
glorf,lego,1,book1
glorf,lori,1,book1
glorf,merr,1,book1
glorf,nazg,1,book1
glorf,rive,1,book1
glorf,saru,1,book1
glorf,shir,1,book1
glorf,tomb,1,book1
goll,lori,1,book1
goll,morg,1,book1
goll,tiri,1,book1
gond,lego,1,book1
gond,lori,1,book1
gond,loth,1,book1
gond,morg,1,book1
gond,rive,1,book1
gond,roha,1,book1
gond,saru,1,book1
gond,shir,1,book1
hald,hobb,1,book1
hald,merr,1,book1
hald,pipp,1,book1
hald,sams,1,book1
hald,saur,1,book1
hobb,hton,1,book1
hobb,merr,1,book1
hobb,mori,1,book1
hobb,ring,1,book1
hobb,thra,1,book1
hton,nazg,1,book1
hton,roha,1,book1
